ticker,company,sector,industry,hq,date_first_added,cik,founded
CCI,Crown Castle,Telecom Tower REITs,"Houston, Texas",2012-03-14,0001051470,"1994
",
CSX,CSX,Rail Transportation,"Jacksonville, Florida",1957-03-04,0000277948,"1980
",
CMI,Cummins,Industrial Machinery & Supplies & Components,"Columbus, Indiana",1965-03-31,0000026172,"1919
",
CVS,CVS Health,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,0000064803,"1996
",
DHI,D.R. Horton,Homebuilding,"Arlington, Texas",2005-06-22,0000882184,"1978
",
DHR,Danaher Corporation,Health Care Equipment,"Washington, D.C.",1998-11-18,0000313616,"1969
",
DRI,Darden Restaurants,Restaurants,"Orlando, Florida",1995-05-31,0000940944,"1938
",
DVA,DaVita Inc.,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066,"1979
",
DE,John Deere,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,0000315189,"1837
",
DAL,Delta Air Lines,Passenger Airlines,"Atlanta, Georgia",2013-09-11,0000027904,"1929
",
XRAY,Dentsply Sirona,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,"0000818479
","2016 (1969)
",
DVN,Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012,"1971
",
DXCM,Dexcom,Health Care Equipment,"San Diego, California",2020-05-12,0001093557,"1999
",
FANG,Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,0001539838,"2007
",
DLR,Digital Realty,Data Center REITs,"Austin, Texas",2016-05-18,0001297996,"2004
",
DFS,Discover Financial,Consumer Finance,"Riverwoods, Illinois",2007-07-02,"0001393612
","1985
",
DISH,Dish Network,Cable & Satellite,"Meridian, Colorado",2017-03-13,0001001082,"1980
",
DIS,Disney,Movies & Entertainment,"Burbank, California",1976-06-30,"0001744489
","1923
",
DG,Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",2012-12-03,0000029534,"1939
",
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",2011-12-19,0000935703,"1986
",
D,Dominion Energy,Electric Utilities,"Richmond, Virginia",,0000715957,"1983
",
DPZ,Domino's,Restaurants,"Ann Arbor, Michigan",2020-05-12,0001286681,"1960
",
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1985-10-31,0000029905,"1955
",
DOW,Dow Inc.,Commodity Chemicals,"Midland, Michigan",2019-04-01,0001751788,"2019
",
DTE,DTE Energy,Multi-Utilities,"Detroit, Michigan",1957-03-04,0000936340,"1995
",
DUK,Duke Energy,Electric Utilities,"Charlotte, North Carolina",1976-06-30,"0001326160
","1904
",
DD,DuPont,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,0001666700,"2017
",
DXC,DXC Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,0001688568,"2017
",
EMN,Eastman Chemical Company,Diversified Chemicals,"Kingsport, Tennessee",1994-01-01,0000915389,"1920
",
ETN,Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland",1957-03-04,0001551182,"1911
",
EBAY,eBay,Internet & Direct Marketing Retail,"San Jose, California",2002-07-22,0001065088,"1995
",
ECL,Ecolab,Specialty Chemicals,"Saint Paul, Minnesota",1989-01-31,0000031462,"1923
",
EIX,Edison International,Electric Utilities,"Rosemead, California",1957-03-04,0000827052,"1886
",
EW,Edwards Lifesciences,Health Care Equipment,"Irvine, California",2011-04-01,0001099800,"1958
",
EA,Electronic Arts,Interactive Home Entertainment,"Redwood City, California",2002-07-22,0000712515,"1982
",
